id,title,rating,ratingLevel,ratingDescription,release_year,user rating score,user rating size
1,White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82,80
2,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,NA,82
3,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
4,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
5,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
6,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
7,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
8,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
9,The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
10,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
11,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
12,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
13,Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,80
14,Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88,80
15,The Hunter,R,language and brief violence,100,2011,NA,82
16,Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,NA,82
17,Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96,80
18,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
19,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
20,The 100,NR,This movie has not been rated.,124,2016,97,80
21,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
22,"ÌÒ Pai, ÌÒ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,NA,82
23,Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,NA,82
24,Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57,80
25,Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80
26,Marvel's Iron Fist,TV-MA,,110,2017,98,80
27,Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94,80
28,The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
29,The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
30,Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
31,The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,80
32,OperaÌ¤Ìµes Especiais,TV-MA,,110,2015,NA,82
33,3%,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
34,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
35,Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
36,Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,NA,82
37,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
38,"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,NA,82
39,White Girl,UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016,NA,82
40,Girlboss,TV-MA,,110,2017,94,80
41,City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,NA,82
42,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
43,Sand Castle,TV-MA,,110,2017,89,80
44,Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
45,Sandy Wexler,TV-14,,90,2017,92,80
46,O Amor no DivÌ£,TV-MA,,110,2016,NA,82
47,Stronger Than the World,NR,,124,2016,NA,82
48,Back and Forth,NR,This movie has not been rated.,124,2016,NA,82
49,Happily Married,TV-14,,90,2015,NA,82
50,Pandora,TV-MA,,110,2016,NA,82
51,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,NA,82
52,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
53,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
54,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
55,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,80
56,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
57,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
58,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
59,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
60,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
61,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
62,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
63,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
64,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
65,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
66,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
67,One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,80
68,The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
69,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
70,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
71,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
72,American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90,80
73,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
74,Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
75,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
76,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
77,The 100,NR,This movie has not been rated.,124,2016,97,80
78,Marvel's Iron Fist,TV-MA,,110,2017,98,80
79,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
80,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
81,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
82,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
83,The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
84,The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
85,Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90,80
86,Ingobernable,TV-MA,,110,2017,96,80
87,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
88,Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79,80
89,Finding Dory,PG,mild thematic elements,60,2016,98,80
